Frame,Timestamp (ms),x,y,Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,33,304,122,12,302.5,112.5,15,21,0,295,123,295,102,310,102,310,123
1,66,306,124,12,303.126,113.467,15.0044,21.0061,0,295.624,123.97,295.624,102.964,310.628,102.964,310.628,123.97
2,100,306,124,12,303.925,114.491,15.1127,21.1578,0,296.369,125.069,296.369,103.912,311.482,103.912,311.482,125.069
3,133,307,125,13,304.245,115.274,14.966,20.9524,0,296.762,125.75,296.762,104.798,311.728,104.798,311.728,125.75
4,166,307,126,13,304.83,116.363,15.0045,21.0062,0,297.327,126.866,297.327,105.86,312.332,105.86,312.332,126.866
5,200,308,128,12,305.068,117.536,15.2845,21.3983,0,297.426,128.235,297.426,106.837,312.71,106.837,312.71,128.235
6,233,307,128,12,305.674,118.534,15.3182,21.4454,0,298.015,129.257,298.015,107.812,313.333,107.812,313.333,129.257
7,266,309,130,12,305.789,119.441,15.0317,21.0444,0,298.273,129.964,298.273,108.919,313.305,108.919,313.305,129.964
8,300,309,131,12,306.256,120.395,15.5229,21.7321,0,298.495,131.261,298.495,109.529,314.018,109.529,314.018,131.261
9,333,310,132,12,306.532,121.386,15.5518,21.7725,0,298.756,132.272,298.756,110.5,314.308,110.5,314.308,132.272
10,366,310.312,132.96,12,306.92,122.242,16.138,22.5933,0,298.851,133.539,298.851,110.945,314.989,110.945,314.989,133.539
11,400,311,134,13,307.205,123.163,16.0877,22.5228,0,299.161,134.424,299.161,111.901,315.249,111.901,315.249,134.424
12,433,311,135,13,307.676,124.187,15.8356,22.1698,0,299.758,135.272,299.758,113.102,315.594,113.102,315.594,135.272
13,466,311,136,12,307.9,125.146,15.609,21.8526,0,300.095,136.073,300.095,114.22,315.704,114.22,315.704,136.073
14,500,311,137,12,307.804,126.305,15.8827,22.2358,0,299.862,137.423,299.862,115.187,315.745,115.187,315.745,137.423
15,533,310,136,12,307.863,127.295,15.7834,22.0968,0,299.971,138.343,299.971,116.246,315.754,116.246,315.754,138.343
16,566,310,137,12,307.988,128.443,15.3735,21.5229,0,300.301,139.205,300.301,117.682,315.674,117.682,315.674,139.205
17,600,310,138,12,308.044,129.691,15.3863,21.5409,0,300.35,140.462,300.35,118.921,315.737,118.921,315.737,140.462
18,633,310,140,12,308.037,130.832,15.4102,21.5742,0,300.332,141.619,300.332,120.045,315.742,120.045,315.742,141.619
19,666,310,141,12,308.05,131.986,15.6188,21.8664,0,300.24,142.919,300.24,121.053,315.859,121.053,315.859,142.919
20,700,310,142,12,307.972,133.621,15.5007,21.701,0,300.221,144.471,300.221,122.77,315.722,122.77,315.722,144.471
21,733,310,143,12,307.628,134.76,15.4802,21.6723,0,299.887,145.596,299.887,123.924,315.368,123.924,315.368,145.596
22,766,310,144,12,307.646,136.271,15.6019,21.8426,0,299.846,147.192,299.846,125.35,315.447,125.35,315.447,147.192
23,800,309.472,145.476,12,307.232,137.598,15.5035,21.7049,0,299.48,148.451,299.48,126.746,314.984,126.746,314.984,148.451
24,833,310,147,12,306.677,139.001,15.4585,21.642,0,298.948,149.822,298.948,128.18,314.407,128.18,314.407,149.822
25,866,303.572,147.415,12,306.35,140.067,15.5974,21.8364,0,298.551,150.985,298.551,129.149,314.149,129.149,314.149,150.985
26,900,302.898,148.665,12,306.033,142.021,15.6771,21.948,0,298.195,152.995,298.195,131.047,313.872,131.047,313.872,152.995
27,933,301.757,149.697,12,304.928,143.102,15.7371,22.0319,0,297.059,154.118,297.059,132.086,312.797,132.086,312.797,154.118
28,966,300.772,150.487,12,303.88,144.122,15.4676,21.6546,0,296.146,154.949,296.146,133.294,311.614,133.294,311.614,154.949
29,1000,299.556,150.889,12,302.637,144.839,15.3072,21.4301,0,294.983,155.554,294.983,134.123,310.291,134.123,310.291,155.554
30,1033,298.476,150.714,12,301.418,144.897,14.9757,20.966,0,293.93,155.38,293.93,134.414,308.906,134.414,308.906,155.38
